Date,Cash,Invested,Total,Positions,Peak,Drawdown,Daily_Return
2022-04-11,13439.19527053833,0.0,13439.19527053833,10,13439.19527053833,0.0,
2022-04-12,11029.711627960205,438824.7807044983,449854.4923324585,9,449854.4923324585,0.0,32.473320632421974
2022-04-13,14488.113971710205,438924.59582901,453412.7098007202,8,453412.7098007202,0.0,0.007909707536347232
2022-04-18,11715.63663482666,391426.0696144104,403141.70624923706,7,453412.7098007202,-0.11087250636087771,-0.11087250636087775
2022-04-19,11715.63663482666,480284.89223098755,492000.5288658142,7,492000.5288658142,0.0,0.22041585189313384
2022-04-20,8685.90421295166,433239.2448539734,441925.14906692505,7,492000.5288658142,-0.10177911782803484,-0.10177911782803484
2022-04-21,12597.502586364746,438904.7413330078,451502.24391937256,6,492000.5288658142,-0.08231349880822375,0.021671305361707693
2022-04-22,12396.341697692871,440585.974609375,452982.3163070679,5,492000.5288658142,-0.07930522483114641,0.003278106382921031
2022-04-25,5167.966697692871,346132.43072509766,351300.3974227905,6,492000.5288658142,-0.2859755695128481,-0.22447215978150714
2022-04-26,18992.769554138184,298487.40478515625,317480.17433929443,6,492000.5288658142,-0.35471578644200524,-0.09627151956447522
2022-04-27,18992.769554138184,488098.52264404297,507091.29219818115,6,507091.29219818115,0.0,0.5972376645360138
2022-04-28,16162.313316345215,446265.7507324219,462428.0640487671,5,507091.29219818115,-0.08807729266224276,-0.08807729266224273
2022-04-29,63042.513023376465,442151.5827636719,505194.09578704834,4,507091.29219818115,-0.0037413310784902044,0.09248147996002931
2022-05-02,14000.519859313965,438560.5048828125,452561.02474212646,4,507091.29219818115,-0.10753540495572776,-0.10418386019124815
2022-05-04,244920.67562103271,242241.15454101562,487161.83016204834,2,507091.29219818115,-0.03930152685079828,0.07645555743479626
2022-05-05,244920.67562103271,240855.62133789062,485776.29695892334,2,507091.29219818115,-0.04203384196731088,-0.002844092285851141
2022-05-06,336912.23348236084,146435.96923828125,483348.2027206421,1,507091.29219818115,-0.046822120282554176,-0.004998379405256492
2022-05-09,336912.23348236084,145617.52734375,482529.76082611084,1,507091.29219818115,-0.04843611347692239,-0.001693275965286456
2022-05-10,480289.66024017334,0.0,480289.66024017334,0,507091.29219818115,-0.05285366238853341,-0.004642409168923334
2022-05-11,480289.66024017334,0.0,480289.66024017334,0,507091.29219818115,-0.05285366238853341,0.0
2022-05-12,480289.66024017334,0.0,480289.66024017334,0,507091.29219818115,-0.05285366238853341,0.0
2022-05-13,480289.66024017334,0.0,480289.66024017334,0,507091.29219818115,-0.05285366238853341,0.0
2022-05-16,39005.41194915771,0.0,39005.41194915771,9,507091.29219818115,-0.923080099088127,-0.9187877333656262
2022-05-17,39005.41194915771,451129.11248779297,490134.5244369507,9,507091.29219818115,-0.0334392801101452,11.565808177486375
2022-05-18,972.8428916931007,399732.84452819824,400705.68741989136,9,507091.29219818115,-0.20979576343565418,-0.18245773876017413
2022-05-19,3920.2823448181007,438465.8882827759,442386.170627594,9,507091.29219818115,-0.12760053774557648,0.10401769806682704
2022-05-20,3920.2823448181007,487948.646232605,491868.9285774231,9,507091.29219818115,-0.03001898051684323,0.11185421524282746
2022-05-23,3920.2823448181007,485032.3315811157,488952.61392593384,9,507091.29219818115,-0.035770044864344396,-0.005929048333920606
2022-05-24,720.5594444274757,435392.1700363159,436112.7294807434,9,507091.29219818115,-0.139971961280885,-0.10806749558188189
2022-05-25,2169.931362152085,377079.2988510132,379249.2302131653,8,507091.29219818115,-0.25210857285842075,-0.13038715777749144
2022-05-26,148.19889450071787,422914.5025024414,423062.70139694214,8,507091.29219818115,-0.16570702769709364,0.11552685593890466
2022-05-27,148.19889450071787,481180.15451812744,481328.3534126282,8,507091.29219818115,-0.05080532673687546,0.13772344341227516
2022-05-30,148.19889450071787,447723.35482788086,447871.5537223816,8,507091.29219818115,-0.11678318951029301,-0.0695093057640116
2022-05-31,6488.009189605713,286894.2523574829,293382.2615470886,9,507091.29219818115,-0.4214409396081108,-0.34494106823996895
2022-06-01,12322.433780670166,426482.2503814697,438804.6841621399,8,507091.29219818115,-0.1346633418610421,0.4956755798670214
2022-06-02,7993.669033050537,430129.09521484375,438122.7642478943,7,507091.29219818115,-0.13600810941027286,-0.0015540397330708888
2022-06-03,408.4063377380371,426717.06494140625,427125.4712791443,6,507091.29219818115,-0.1576951175248828,-0.02510093943104863
2022-06-06,408.4063377380371,480723.990234375,481132.39657211304,6,507091.29219818115,-0.05119175979839716,0.12644276430349666
2022-06-07,408.4063377380371,481745.8742675781,482154.28060531616,6,507091.29219818115,-0.04917657229877874,0.0021239144162472634
2022-06-08,767.2406883239746,335951.51220703125,336718.7528953552,7,507091.29219818115,-0.3359800137057787,-0.30163691075681265
2022-06-09,1257.5285301208496,432298.58752441406,433556.1160545349,6,507091.29219818115,-0.1450136834826721,0.28759123846385415
2022-06-10,1257.5285301208496,473699.7489013672,474957.27743148804,6,507091.29219818115,-0.06336928924059401,0.09549204784311116
2022-06-13,1257.5285301208496,466437.2814941406,467694.8100242615,6,507091.29219818115,-0.07769110371258903,-0.015290780355027067
2022-06-14,1257.5285301208496,469400.99365234375,470658.5221824646,6,507091.29219818115,-0.07184656998897532,0.0063368506442254
2022-06-15,1257.5285301208496,468217.4168701172,469474.94540023804,6,507091.29219818115,-0.07418062068248238,-0.0025147250638068996
2022-06-16,91945.82723617554,365218.66845703125,457164.4956932068,5,507091.29219818115,-0.09845721524530143,-0.026221739472244487
2022-06-17,177068.0669822693,277212.39794921875,454280.46493148804,3,507091.29219818115,-0.10414461474533389,-0.006308518681761632
2022-06-20,177068.0669822693,275650.26220703125,452718.32918930054,3,507091.29219818115,-0.10722519563130381,-0.003438703318275227
2022-06-21,177068.0669822693,282968.92919921875,460036.99618148804,3,507091.29219818115,-0.09279255380765516,0.016166049661150872
2022-06-22,177068.0669822693,277944.22265625,455012.2896385193,3,507091.29219818115,-0.1027014333728854,-0.010922396643478827
2022-06-23,177068.0669822693,286920.302734375,463988.3697166443,3,507091.29219818115,-0.08500032074045437,0.01972711569011909
2022-06-24,273868.6158103943,195017.15234375,468885.7681541443,2,507091.29219818115,-0.07534249676901453,0.010555002575799
2022-06-27,26351.379482269287,196990.97607421875,223342.35555648804,7,507091.29219818115,-0.5595618402589302,-0.5236742705249584
2022-06-28,26351.379482269287,445060.88401794434,471412.2635002136,7,507091.29219818115,-0.07036016836988687,1.1107159111205105
2022-06-29,26351.379482269287,445526.3518218994,471877.7313041687,7,507091.29219818115,-0.0694422511997116,0.0009873901041499433
2022-06-30,25998.26211166382,393706.8914489746,419705.1535606384,6,507091.29219818115,-0.17232821778251028,-0.11056376320055716
2022-07-01,25998.26211166382,444862.76638793945,470861.0284996033,6,507091.29219818115,-0.07144722115326403,0.12188526756218132
2022-07-04,25998.26211166382,452359.6635284424,478357.9256401062,6,507091.29219818115,-0.05666310386344672,0.01592167685737711
2022-07-05,25998.26211166382,449386.2321624756,475384.4942741394,6,507091.29219818115,-0.06252680417089496,-0.006215913245271265
